;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
N°Référence ;Désignation;Catégorie;Conditionnement;Qté/Conditionnement;Dosage;Stock critique;Stock initial;Stock actuel;Statut du stock;Prix d'achat unitaire;Valeur en stock;Prix de vente unitaire;Date Stock Initial;Date de péremption;Alerte de péremption;Lot stock initial;_SearchKey;;;;
;Vitamine poudre;Produits veterinaires;sachet/100gr;1;100gr;3;;;Niveau satisfaisant;2,43 USD;;6,00 USD;;;Bon état;;;;;;
;Calcium poudre sachet/500gr;produits veterinaires;sachet/500gr;1;1/2kg;3;;;Niveau satisfaisant;1,00 USD;;2,50 USD;;;Bon état;Lot-Initial-CALCI-PROD-1/2kg-16122025;;;;;
;Levacid1gr  bolus;Produits veterinaires;bolus;1;1gr;5;;;Niveau satisfaisant;0,14 USD;;0,40 USD;;;Bon état;;;;;;
;.Sachet polythy. noir piece;outils aratoires;pce;1;pce;10;;;Approvisionnement urgent!;0,01 USD;;0,10 USD;;;Bon état;;;;;;
;..Poivron JAUNE sachet/5gr original;Semences;sachet;1;gr;2;;;Niveau satisfaisant;2,00 USD;;5,00 USD;;;Bon état;;;;;;
;.Poivron ROUGE sachet/5gr original;Semences;sachet;1;10gr;2;;;Niveau satisfaisant;2,00 USD;;5,00 USD;;;Bon état;;;;;;
;Piment KG;Semences;sachet;1;1kg;1;;;Niveau satisfaisant;60,00 USD;;100,00 USD;;;Bon état;;;;;;
;Petits poids bte 500gr;Semences;boite;1;500gr;2;;;Niveau satisfaisant;5,00 USD;;15,00 USD;;;Bon état;;;;;;
;Dog Booster 100gr;Produits vétérinaires;boite;1;100gr;4;;;Niveau satisfaisant;3,27 USD;;9,00 USD;;;Bon état;;;;;;
;Calcium en poudre kg;Produits vétérinaires;sachet;1;kg;3;;;Approvisionnement urgent!;1,82 USD;;5,00 USD;;;Bon état;;;;;;
;Bio-start poussins;Produits vétérinaires;boite;1;100gr;1;;;Approvisionnement urgent!;1,90 USD;;5,00 USD;;;Bon état;;;;;;
;Amin' TOTAL;Produits vétérinaires;sachet;1;150gr;3;;;Niveau satisfaisant;4,00 USD;;8,00 USD;;;Bon état;;wormi-prod-bolus|wormicid 1gr|approvisionnement urgent!;;;;
;Wonder pig sachet 1kg;Produits vétérinaires;sachet;1;kilo;3;;;Approvisionnement urgent!;2,30 USD;;5,00 USD;;;;;wonde-prod-kilo|wonder pig sachet 1kg|approvisionnement urgent!;;;;
;Water melon sachet/10gr;Semences;sachet;1;10gr.;5;;;Approvisionnement urgent!;1,20 USD;;1,90 USD;;;;;water-seme-10gr.|water melon sachet/10gr|approvisionnement urgent!;;;;
;Water melon bte 50gr;Semences;boite;1;50gr.;3;;;Approvisionnement urgent!;5,26 USD;;7,00 USD;;;;;water-seme-50gr.|water melon bte 50gr|approvisionnement urgent!;;;;
;Water melon F-1  sachet/10gr;Semences;sachet;1;10gr;3;;;Niveau satisfaisant;5,26 USD;;10,00 USD;;;Bon état;;water-seme-10gr|water melon f-1 sachet/10gr|approvisionnement urgent!;;;;
;Water melon F-1  bte/50gr;Semences;boite;1;50gr;3;;;Approvisionnement urgent!;13,98 USD;;25,00 USD;;;Bon état;;water-seme-50gr|water melon f-1 bte/50gr|approvisionnement urgent!;;;;
;Vit B12+Fer Ferum);Produits vétérinaires;falcon;1;100ml;3;;;Niveau satisfaisant;6,30 USD;;8,00 USD;;;Bon état;;vit b-prod-100ml|vit b12+fer ferum)|approvisionnement urgent!;;;;
;Vet-dust 400gr;Produits vétérinaires;boite;1;400gr;3;;;Approvisionnement urgent!;1,28 USD;;3,00 USD;;;Bon état;;vet-d-prod-400gr|vet-dust 400gr|approvisionnement urgent!;;;;
;Veriben + B12  (Sequezen) 2,36gr;Produits vétérinaires;sachet;1;sachet;20;;;Niveau satisfaisant;0,20 USD;;0,50 USD;;;Bon état;;verib-prod-sachet|veriben + b12 (sequezen) 2,36gr|approvisionnement urgent!;;;;
;Vectocid 100ml;Produits vétérinaires;flacon;1;100ml;3;;;Niveau satisfaisant;4,32 USD;;10,00 USD;;;Bon état;;vecto-prod-100ml|vectocid 100ml|approvisionnement urgent!;;;;
;Vectocid 1litre (France);Produits vétérinaires;flacon;1;litre;3;;;Approvisionnement urgent!;40,78 USD;;65,00 USD;;;Bon état;Lot-Initial-VECTO-PROD-litre-01022025;vecto-prod-litre|vectocid 1litre (france)|approvisionnement urgent!;;;;
;Urée sachet/1kg;Engrais granulés;sachet;1;kg;10;;;Niveau satisfaisant;1,00 USD;;1,40 USD;;;Bon état;;uree -engr-kg|uree sachet/1kg|approvisionnement urgent!;;;;
;Urée sac/50kg;Engrais granulés;sac;1;50kg;2;;;Niveau satisfaisant;50,00 USD;;65,00 USD;;;Bon état;;uree -engr-50kg|uree sac/50kg|approvisionnement urgent!;;;;
;Tylosin poudre;Produits vétérinaires;flacon;1;100gr;6;;;Niveau satisfaisant;3,41 USD;;6,00 USD;;;Bon état;;tylos-prod-100gr|tylosin poudre|approvisionnement urgent!;;;;
;Tylosin (Europe) 100ml injectable;Produits vétérinaires;flacon;1;100ml.;3;;;Approvisionnement urgent!;4,20 USD;;7,00 USD;;;Bon état;;tylos-prod-100ml.|tylosin (europe) 100ml injectable|approvisionnement urgent!;;;;
;Tylosin (Chine) 100ml injectable;Produits vétérinaires;flacon;1;100ml;3;;;Niveau satisfaisant;2,80 USD;;6,00 USD;;;Bon état;;tylos-prod-100ml|tylosin (chine) 100ml injectable|approvisionnement urgent!;;;;
;Tonimix;Produits vétérinaires;boite;1;500gr;3;;;Approvisionnement urgent!;1,56 USD;;5,00 USD;;;;;tonim-prod-500gr|tonimix|approvisionnement urgent!;;;;
;Tomate Hybride 1gr;Semences;sachet;1;hybride;3;;;Approvisionnement urgent!;5,30 USD;;9,00 USD;;;;;tomat-seme-hybride|tomate hybride 1gr|approvisionnement urgent!;;;;
;Tomate Hybride 10gr;Semences;sachet;1;10gr.;3;;;Approvisionnement urgent!;8,90 USD;;15,00 USD;;;;;tomat-seme-10gr.|tomate hybride 10gr|approvisionnement urgent!;;;;
;Tomate sachet/10gr;Semences;sachet;1;10gr;5;;;Niveau satisfaisant;0,48 USD;;0,80 USD;;;Bon état;;tomat-seme-10gr|tomate sachet/10gr|approvisionnement urgent!;;;;
;Tomate TENGERO 50gr;Semences;boite;1;50gr;3;;;Approvisionnement nécessaire;5,00 USD;;7,00 USD;;;Bon état;Lot-Initial-TOMAT-SEME-50gr-02012026;tomat-seme-50gr|tomate 50gr|approvisionnement urgent!;;;;
;Tige+tuyeau pulverisateur;outils aratoires;pce;1;pce;3;;;Niveau satisfaisant;2,05 USD;;10,00 USD;;;Bon état;;tige+-outi-pce|tige+tuyeau pulverisateur|approvisionnement urgent!;;;;
;Thermomètre digital;Produits vétérinaires;pce;1;pce.;3;;;Approvisionnement urgent!;2,46 USD;;8,00 USD;;;Bon état;;therm-prod-pce.|thermometre digital|approvisionnement urgent!;;;;
;Thermomètre a mercure;Produits vétérinaires;pce;1;pce;3;;;Niveau satisfaisant;1,73 USD;;3,00 USD;;;Bon état;;therm-prod-pce|thermometre a mercure|approvisionnement urgent!;;;;
;Tafgor 250ml;Insecticide agricole;flacon;1;250ml;3;;;Approvisionnement urgent!;2,50 USD;;6,00 USD;;;;;tafgo-inse-250ml|tafgor 250ml|approvisionnement urgent!;;;;
;Tafgor 100ml;Insecticide agricole;flacon;1;100ml;5;;;Approvisionnement urgent!;1,30 USD;;3,00 USD;;;;;tafgo-inse-100ml|tafgor 100ml|approvisionnement urgent!;;;;
;Tafgor 500ml;Insecticide agricole;flacon;1;500ml;3;;;Approvisionnement urgent!;4,36 USD;;8,00 USD;;;;;tafgo-inse-500ml|tafgor 500ml|approvisionnement urgent!;;;;
;Tafgor 1litre;Insecticide agricole;flacon;1;litre;3;;;Approvisionnement urgent!;7,44 USD;;15,00 USD;;;;;tafgo-inse-litre|tafgor 1litre|approvisionnement urgent!;;;;
;Super Tonick bte/500gr;Produits vétérinaires;boite;1;500gr.;3;;;Approvisionnement urgent!;2,98 USD;;5,00 USD;;;;;super-prod-500gr.|super tonick bte/500gr|approvisionnement urgent!;;;;
;Super feed premix general 500gr;Produits vétérinaires;sachet;1;500gr;3;;;Approvisionnement urgent!;0,95 USD;;2,00 USD;;;;;super-prod-500gr|super feed premix general 500gr|approvisionnement urgent!;;;;
;Super feed premix general 1kg;Produits vétérinaires;sachet;1;kg;3;;;Approvisionnement urgent!;2,30 USD;;3,80 USD;;;;;super-prod-kg|super feed premix general 1kg|approvisionnement urgent!;;;;
;Supalik 1kg;Produits vétérinaires;sachet;1;2kg;3;;;Approvisionnement urgent!;2,56 USD;;7,00 USD;;;;;supal-prod-2kg|supalik 1kg|approvisionnement urgent!;;;;
;Supadip 1litre;Produits vétérinaires;flacon;1;litre;3;;;Niveau satisfaisant;3,23 USD;;10,00 USD;;;Bon état;;supad-prod-litre|supadip 1litre|approvisionnement urgent!;;;;
;Sulfate de cuivre sachet/5gr;Produits vétérinaires;flacon;1;10gr;6;;;Niveau satisfaisant;0,12 USD;;3,00 USD;;;Bon état;;sulfa-prod-10gr|sulfate de cuivre sachet/5gr|approvisionnement urgent!;;;;
;Sulfa poudre sachet/100gr;Produits vétérinaires;sachet;1;100gr;6;;;Niveau satisfaisant;3,70 USD;;7,00 USD;;;Bon état;;sulfa-prod-100gr|sulfa poudre sachet/100gr|approvisionnement urgent!;;;;
;Sulfa-333;Produits vétérinaires;flacon;1;100ml;6;;;Niveau satisfaisant;3,41 USD;;7,00 USD;;;Bon état;;sulfa-prod-100ml|sulfa-333|approvisionnement urgent!;;;;
;Sukumawiki 10gr;Semences;sachet;1;10gr;5;;;Approvisionnement urgent!;0,48 USD;;0,80 USD;;;Bon état;;sukum-seme-10gr|sukumawiki 10gr|approvisionnement urgent!;;;;
;Sukumawiki bte/50gr;Semences;boite;1;50gr;3;;;Niveau satisfaisant;1,80 USD;;3,00 USD;;;Bon état;;sukum-seme-50gr|sukumawiki bte/50gr|approvisionnement urgent!;;;;
;Spider (Musobyio);Semences;boite;1;50gr;3;;;Approvisionnement urgent!;2,70 USD;;4,00 USD;;;;;spide-seme-50gr|spider (musobyio)|approvisionnement urgent!;;;;
;Soja PK6;Semences;sachet;1;1kg;5;;;Approvisionnement urgent!;1,40 USD;;2,50 USD;;;;;soja -seme-1kg|soja pk6|approvisionnement urgent!;;;;
;Soja imperial;Semences;sachet;1;kg;5;;;Approvisionnement urgent!;1,30 USD;;2,50 USD;;;;;soja -seme-kg|soja imperial|approvisionnement urgent!;;;;
;Seringue plastique 50cc;Produits vétérinaires;pce;1;50ml;3;;;Approvisionnement urgent!;2,00 USD;;5,00 USD;;;Bon état;;serin-prod-50ml|seringue plastique 50cc|approvisionnement urgent!;;;;
;Seringue plexiglass 20cc;Produits vétérinaires;pce;1;20ml.;10;;;Niveau satisfaisant;1,85 USD;;5,50 USD;;;Bon état;;serin-prod-20ml.|seringue plexiglass 20cc|approvisionnement urgent!;;;;
;Seringue plastique 20cc;Produits vétérinaires;pce;1;20ml;10;;;Niveau satisfaisant;0,39 USD;;0,80 USD;;;Bon état;;serin-prod-20ml|seringue plastique 20cc|approvisionnement urgent!;;;;
;Seringue plastique 10cc;Produits vétérinaires;pce;1;10ml;10;;;Approvisionnement urgent!;0,05 USD;;0,27 USD;;;;;serin-prod-10ml|seringue plastique 10cc|approvisionnement urgent!;;;;
;Seringue plastique 5cc;Produits vétérinaires;pce;1;5ml;10;;;Niveau satisfaisant;0,04 USD;;0,16 USD;;;Bon état;;serin-prod-5ml|seringue plastique 5cc|approvisionnement urgent!;;;;
;Sel de Katwe;Produits vétérinaires;sachet;1;kg;3;;;Approvisionnement urgent!;0,58 USD;;0,80 USD;;;;;sel d-prod-kg|sel de katwe|approvisionnement urgent!;;;;
;S-dime bolus;Produits vétérinaires;bolus;1;bolus;10;;;Niveau satisfaisant;0,29 USD;;0,50 USD;;;Bon état;;s-dim-prod-bolus|s-dime bolus|approvisionnement urgent!;;;;
;S-dime liquide 125ml;Produits vétérinaires;flacon;1;125ml;5;;;Niveau satisfaisant;1,79 USD;;3,00 USD;;;Bon état;;s-dim-prod-125ml|s-dime liquide 125ml|approvisionnement urgent!;;;;
;S-dime liquide 1litre;Produits vétérinaires;flacon;1;litre;5;;;Approvisionnement urgent!;4,96 USD;;12,00 USD;;;;;s-dim-prod-litre|s-dime liquide 1litre|approvisionnement urgent!;;;;
;Sceau metalique 20litre;outils aratoires;pce;1;pce;2;;;Approvisionnement urgent!;14,56 USD;;30,00 USD;;;;;sceau-outi-pce|sceau metalique 20litre|approvisionnement urgent!;;;;
;Samorin 8tetes;Produits vétérinaires;sachet;1;12,5gr;3;;;Niveau satisfaisant;3,24 USD;;10,00 USD;;;Bon état;;samor-prod-12,5gr|samorin 8tetes|approvisionnement urgent!;;;;
;Samorin 1tete;Produits vétérinaires;sachet;1;gr;3;;;Approvisionnement urgent!;0,93 USD;;2,00 USD;;;;;samor-prod-gr|samorin 1tete|approvisionnement urgent!;;;;
;Salopette;outils aratoires;pce;1;pce;2;;;Approvisionnement urgent!;8,00 USD;;10,00 USD;;;;;salop-outi-pce|salopette|approvisionnement urgent!;;;;
;Salade sachet origonal/10gr;Semences;sachet;1;original;5;;;Approvisionnement urgent!;0,60 USD;;3,00 USD;;;;;salad-seme-original|salade sachet origonal/10gr|approvisionnement urgent!;;;;
;Salade 10gr;Semences;sachet;1;10gr;5;;;Niveau satisfaisant;0,48 USD;;0,80 USD;;;Bon état;;salad-seme-10gr|salade 10gr|approvisionnement urgent!;;;;
;Salade 50gr;Semences;boie;1;50gr;3;;;Approvisionnement urgent!;4,79 USD;;6,00 USD;;;;;salad-seme-50gr|salade 50gr|approvisionnement urgent!;;;;
;Sachet politylene noir 15cm X 9cm;outils aratoires;sachet;1;kg;5;;;Niveau satisfaisant;3,00 USD;;6,00 USD;;;Bon état;Lot-Initial-SACHE-OUTI-kg-02012026;sache-outi-kg|sachet politylene noir|approvisionnement urgent!;;;;
;sachet poly noir  bananier 25cm X 25cm;outils aratoires;pce;1;pce;3;;;Niveau satisfaisant;5,00 USD;;10,00 USD;;;Bon état;Lot-Initial-SACHE-OUTI-pce-02012026;sache-outi-pce|sachet poly noir bananier|approvisionnement urgent!;;;;
;Sac stockage semence et céréales;outils aratoires;pce;1;pce;3;;;Approvisionnement urgent!;2,13 USD;;5,00 USD;;;;;sac s-outi-pce|sac stockage semence et cereales|approvisionnement urgent!;;;;
;Ruban pour poids;Produits vétérinaires;pce;1;pce;3;;;Approvisionnement urgent!;0,00 USD;;0,00 USD;;;;;ruban-prod-pce|ruban pour poids|approvisionnement urgent!;;;;
;Roundup;herbicide;flacon;1;litre;3;;;Niveau satisfaisant;6,58 USD;;10,00 USD;;;Bon état;;round-herb-litre|roundup|approvisionnement urgent!;;;;
;Rocket 100ml;Insecticide agricole;flacon;1;100ml;3;;;Niveau satisfaisant;1,30 USD;;3,00 USD;;;Bon état;;rocke-inse-100ml|rocket 100ml|approvisionnement urgent!;;;;
;Rocket 250ml;Insecticide agricole;flacon;1;250ml.;2;;;Approvisionnement urgent!;1,64 USD;;5,00 USD;;;;;rocke-inse-250ml.|rocket 250ml|approvisionnement urgent!;;;;
;Rocket 500ml;fongicides agricole;flacon;1;500ml;3;;;Niveau satisfaisant;4,24 USD;;10,00 USD;;;Bon état;;rocke-fong-500ml|rocket 500ml|approvisionnement urgent!;;;;
;Rocket 1litre;Insecticide agricole;flacon;1;1litre;2;;;Approvisionnement urgent!;8,21 USD;;18,00 USD;;;Bon état;;rocke-inse-1litre|rocket 1litre|approvisionnement urgent!;;;;
;Ridomi poudre 250gr;fongicides agricole;sachet;1;250gr.;3;;;Approvisionnement urgent!;2,70 USD;;5,00 USD;;;;;ridom-fong-250gr.|ridomi poudre 250gr|approvisionnement urgent!;;;;
;Ridomil poudre 100gr;fongicides agricole;sachet;1;100gr;2;;;Niveau satisfaisant;1,20 USD;;2,78 USD;;;Bon état;;ridom-fong-100gr|ridomil poudre 100gr|approvisionnement urgent!;;;;
;Ridomil 1kg (poudre);fongicides agricole;sachet;1;kilogramme;2;;;Approvisionnement urgent!;5,70 USD;;14,45 USD;;;;;ridom-fong-kilogramme|ridomil 1kg (poudre)|approvisionnement urgent!;;;;
;Ridomil graine 250gr;fongicides agricole;sachet;1;250gr;3;;;Niveau satisfaisant;5,70 USD;;15,00 USD;;;Bon état;;ridom-fong-250gr|ridomil graine 250gr|approvisionnement urgent!;;;;
;Ridomil 1kg graine;fongicides agricole;sachet;1;kg;2;;;Approvisionnement urgent!;20,35 USD;;35,00 USD;;;;;ridom-fong-kg|ridomil 1kg graine|approvisionnement urgent!;;;;
;Rat Poison;Raticide;sachet;1;sachet;5;;;Approvisionnement urgent!;0,27 USD;;0,50 USD;;;;;rat p-rati-sachet|rat poison|approvisionnement urgent!;;;;
;Ratox;Raticide;sachet;1;sachet;3;;;Niveau satisfaisant;0,00 USD;;0,26 USD;;;Bon état;;ratox-rati-sachet|ratox|approvisionnement urgent!;;;;
;Rateaux;outils aratoires;pce;1;pcce;5;;;Approvisionnement urgent!;2,08 USD;;4,30 USD;;;;;ratea-outi-pcce|rateaux|approvisionnement urgent!;;;;
;Rapid-Grow;Engrais foliaires;flacon;1;1litre;3;;;Niveau satisfaisant;1,10 USD;;3,00 USD;;;Bon état;;rapid-engr-1litre|rapid-grow|approvisionnement urgent!;;;;
;Radis sachet;Semences;sachet;1;10gr;5;;;Approvisionnement nécessaire;0,48 USD;;0,80 USD;;;Bon état;;radis-seme-10gr|radis sachet|approvisionnement urgent!;;;;
;Quinan 10ml;Produits vétérinaires;flacon;1;100ml.;3;;;Approvisionnement urgent!;3,20 USD;;4,80 USD;;;;;quina-prod-100ml.|quinan 10ml|approvisionnement urgent!;;;;
;Quinan 100ml;Produits vétérinaires;flacon;1;100ml;3;;;Approvisionnement urgent!;6,50 USD;;10,00 USD;;;;;quina-prod-100ml|quinan 100ml|approvisionnement urgent!;;;;
;Pulvérisateur Agriscope 2litres;outils aratoires;pce;1;…pce;3;;;Niveau satisfaisant;15,00 USD;;35,00 USD;;;Bon état;;pulve-outi-…pce|pulverisateur agriscope 2litres|approvisionnement urgent!;;;;
;Pulvérisateur Farmate 20litres;outils aratoires;pce;1;..pce;2;;;Niveau satisfaisant;17,00 USD;;40,00 USD;;;Bon état;;pulve-outi-..pce|pulverisateur farmate 20litres|approvisionnement urgent!;;;;
;Pulvérisateur CP-15;outils aratoires;pce;1;pce…;2;;;Niveau satisfaisant;40,00 USD;;65,00 USD;;;Bon état;;pulve-outi-pce…|pulverisateur cp-15|approvisionnement urgent!;;;;
;Pulvérisateur 16litres;outils aratoires;pce;1;.pce;3;;;Approvisionnement urgent!;11,50 USD;;20,00 USD;;;;;pulve-outi-.pce|pulverisateur 16litres|approvisionnement urgent!;;;;
;Pulvérisateur 2litres;outils aratoires;pce;1;pce..;3;;;Niveau satisfaisant;4,00 USD;;8,00 USD;;;Bon état;;pulve-outi-pce..|pulverisateur 2litres|approvisionnement urgent!;;;;
;Pulvérisateur Easeed 1litre;outils aratoires;pce;1;pce.;5;;;Approvisionnement urgent!;2,00 USD;;5,00 USD;;;;;pulve-outi-pce.|pulverisateur easeed 1litre|approvisionnement urgent!;;;;
;Pulvérisateur Chine 1litre;outils aratoires;pce;1;pce;10;;;Niveau satisfaisant;0,81 USD;;3,50 USD;;;Bon état;;pulve-outi-pce|pulverisateur chine 1litre|approvisionnement urgent!;;;;
;Protéine 100%;Produits vétérinaires;sachet;1;100gr;3;;;Niveau satisfaisant;1,85 USD;;6,00 USD;;;Bon état;;prote-prod-100gr|proteine 100%|approvisionnement urgent!;;;;
;Poivron sachet original;semence;sachet;1;original;5;;;Approvisionnement urgent!;0,48 USD;;0,80 USD;;;;;poivr-seme-original|poivron sachet original|approvisionnement urgent!;;;;
;Poivron sachett/10gr;Semences;sachet;1;10gr;5;;;Niveau satisfaisant;0,48 USD;;0,80 USD;;;Bon état;;poivr-seme-10gr|poivron sachett/10gr|approvisionnement urgent!;;;;
;Poivron bte/50gr;Semences;boite;1;50gr;5;;;Approvisionnement urgent!;4,57 USD;;7,00 USD;;;Bon état;;poivr-seme-50gr|poivron bte/50gr|approvisionnement urgent!;;;;
;Poireau sachet original;Semences;sachet;1;original;3;;;Approvisionnement urgent!;0,60 USD;;3,00 USD;;;;;poire-seme-original|poireau sachet original|approvisionnement urgent!;;;;
;Poireau 10gr;Semences;sachet;1;10gr;5;;;Niveau satisfaisant;0,48 USD;;0,80 USD;;;Bon état;;poire-seme-10gr|poireau 10gr|approvisionnement urgent!;;;;
;Poireau bte/50gr;Semences;boite;1;50gr;5;;;Approvisionnement urgent!;3,20 USD;;5,00 USD;;;Bon état;;poire-seme-50gr|poireau bte/50gr|approvisionnement urgent!;;;;
;Piston pour pompe;outils aratoires;pce;1;pce;2;;;Approvisionnement urgent!;6,23 USD;;10,00 USD;;;Bon état;;pisto-outi-pce|piston pour pompe|approvisionnement urgent!;;;;
;Pipérazine poudre sachet/5gr;Produits vétérinaires;sachet;1;5gr;5;;;Niveau satisfaisant;0,09 USD;;0,25 USD;;;Bon état;;piper-prod-5gr|piperazine poudre sachet/5gr|approvisionnement urgent!;;;;
;Pipérazine poudre sachet/100gr;Produits vétérinaires;sachet;1;100gr;6;;;Niveau satisfaisant;1,63 USD;;5,00 USD;;;Bon état;;piper-prod-100gr|piperazine poudre sachet/100gr|approvisionnement urgent!;;;;
;Pince pour boucle d'oreille vache;Produits vétérinaires;pce;1;pce.;3;;;Approvisionnement urgent!;23,44 USD;;60,00 USD;;;;;pince-prod-pce.|pince pour boucle d'oreille vache|approvisionnement urgent!;;;;
;Pince pour boucle d'oreille chèvres;Produits vétérinaires;pce;1;pce;5;;;Approvisionnement urgent!;23,44 USD;;60,00 USD;;;;;pince-prod-pce|pince pour boucle d'oreille chevres|approvisionnement urgent!;;;;
;Piment sachet;Semences;sachet;1;original;5;;;Approvisionnement urgent!;1,00 USD;;3,00 USD;;;;;pimen-seme-original|piment sachet|approvisionnement urgent!;;;;
;Piment sachet/10gr;Semences;sachet;1;10gr;5;;;Approvisionnement nécessaire;0,48 USD;;1,00 USD;;;Bon état;;pimen-seme-10gr|piment sachet/10gr|approvisionnement urgent!;;;;
;Piment bte/50gr;Semences;boite;1;50gr;3;;;Approvisionnement urgent!;5,00 USD;;20,00 USD;;;;;pimen-seme-50gr|piment bte/50gr|approvisionnement urgent!;;;;
;Pig booster weight sache/1kg;Produits vétérinaires;sachet;1;1kg;6;;;Approvisionnement urgent!;0,51 USD;;3,00 USD;;;Bon état;;pig b-prod-1kg|pig booster weight sache/1kg|approvisionnement urgent!;;;;
;Phenylject;Produits vétérinaires;flacon;1;100ml;6;;;Niveau satisfaisant;3,75 USD;;7,00 USD;;;Bon état;;pheny-prod-100ml|phenylject|approvisionnement urgent!;;;;
;Permanganate sachet/5cés;Désinfectants;sachet;1;5gr;5;;;Approvisionnement urgent!;0,10 USD;;0,40 USD;;;;;perma-desi-5gr|permanganate sachet/5ces|approvisionnement urgent!;;;;
;Persil sachet original;Semences;sachet;1;original;5;;;Approvisionnement urgent!;0,60 USD;;3,00 USD;;;;;persi-seme-original|persil sachet original|approvisionnement urgent!;;;;
;Persil sachet/10gr;Semences;sachet;1;10gr;5;;;Niveau satisfaisant;0,48 USD;;0,80 USD;;;Bon état;;persi-seme-10gr|persil sachet/10gr|approvisionnement urgent!;;;;
;Persil bte/50gr;Semences;flacon;1;50gr;3;;;Niveau satisfaisant;2,26 USD;;6,00 USD;;;Bon état;;persi-seme-50gr|persil bte/50gr|approvisionnement urgent!;;;;
;Peni-strepto Europe;Produits vétérinaires;flacon;1;100ml.;6;;;Approvisionnement urgent!;4,68 USD;;7,00 USD;;;Bon état;;peni--prod-100ml.|peni-strepto europe|approvisionnement urgent!;;;;
;Peni-strepto 100ml China;Produits vétérinaires;flacon;1;100ml;6;;;Niveau satisfaisant;3,56 USD;;6,00 USD;;;Bon état;;peni--prod-100ml|peni-strepto 100ml china|approvisionnement urgent!;;;;
